datetime,n_provinces,solar_mean,solar_sd,precip_mean,precip_sd,t2m_mean,t2m_sd,w10_mean,w10_sd,w100_mean,w100_sd,Province
2023-01-01T00:00:00Z,5,0,0,2.702678708980481e-4,2.2689457115030874e-4,9.970503743489607,1.587807470806335,1.2847378070208924,0.39469798271382667,1.8263814614614207,0.3945927946372854,Calabria
2023-01-01T00:00:00Z,10,0,0,0,0,8.21289699233061,1.141066895083346,1.3612065384276408,0.28118436446024236,2.1610675500892005,0.32133708927464,South Italy
2023-01-01T01:00:00Z,5,0,0,1.4936667867004871e-4,1.642201669423623e-4,9.936344401041689,1.5812322967943937,1.3199609261040481,0.3564774047178971,1.842474174321799,0.4043639710355076,Calabria
2023-01-01T01:00:00Z,10,0,0,0,0,8.06480860448148,1.1006929208095921,1.3423635027252234,0.23209295463430543,2.067954288618838,0.33005620561230015,South Italy
2023-01-01T02:00:00Z,5,0,0,3.811534649382035e-5,5.885905690400946e-5,9.579801432291688,1.640009603150043,1.2506506171781404,0.3069093234990598,1.7524491506584678,0.3821011985492573,Calabria
2023-01-01T02:00:00Z,10,0,0,7.361030349364648e-7,2.654057236488084e-6,7.715925096225412,1.0996567695743338,1.2879176088223108,0.23592788368659193,1.8630471842548926,0.3524966885416046,South Italy
2023-01-01T03:00:00Z,5,0,0,0,0,9.61793619791669,1.6045756887874072,1.2547748865380837,0.3980412259310507,1.72565671859971,0.34562051622687007,Calabria
2023-01-01T03:00:00Z,10,0,0,3.809691406786442e-6,5.21663480157631e-6,7.837373136303823,1.0677161412375769,1.2722427004082328,0.2563400145303259,1.7280184583321079,0.37422625338804194,South Italy
2023-01-01T04:00:00Z,5,0,0,1.0804797057062387e-4,1.087804194032043e-4,9.22792154947919,1.6412223645136876,1.1945642805612129,0.49796555345277715,1.5869054774808007,0.4057014012434886,Calabria
2023-01-01T04:00:00Z,10,0,0,9.223042676846187e-5,6.372140151400407e-5,7.440694812593029,1.079774678806423,1.27424048577707,0.2672907983398027,1.6958602898102588,0.3894868986458428,South Italy
2023-01-01T05:00:00Z,5,0,0,1.732502520705263e-4,1.0767736225789238e-4,8.887630208333356,1.6966775022323841,1.1651045496057229,0.5107243190798418,1.5039529905657822,0.40910558810482645,Calabria
2023-01-01T05:00:00Z,10,0,0,3.103911876678467e-4,1.9646052385527594e-4,7.210884835379487,1.078841292955431,1.2965523044660683,0.25766394715698165,1.6305349839128582,0.37560295162914453,South Italy
2023-01-01T06:00:00Z,5,0,0,3.49775655195117e-4,2.7296710010284435e-4,8.677030436197938,1.7126205858217054,1.1682746583922685,0.5180792749186409,1.4894627672979328,0.39334942704445186,Calabria
