Province,n,MAE,RMSE,MAPE,Bias,Corr
Calabria,2208,112.86408775122868,141.79156258777826,16.743474110961778,-64.00193405051003,0.6764110492139717
South Italy,2208,351.34943942148647,437.74063537403197,14.426670357487403,-287.27192698678056,0.7951526983803117
